pcn,item,onhandqty,last_event,last_dest,last_event_time,suggested_review
667,8291-265,2800,PTWY,1406308,12/19/25 07:25:20,moved off floor -> location may be stale (real available stock)
1678,8747L-5,2700,PTWY,1304514,10/01/25 15:19:06,moved off floor -> location may be stale (real available stock)
35231,8119L-50,2500,PICK,MFG Floor,10/30/25 09:05:40,likely consumed/staged on floor -> verify if on-hand should be 0
43336,8119L-50,2500,PICK,MFG Floor,10/30/25 10:08:47,likely consumed/staged on floor -> verify if on-hand should be 0
17657,6225L-15,2500,PTWY,1303709,09/30/25 10:21:37,moved off floor -> location may be stale (real available stock)
35230,8119L-50,2500,PICK,MFG Floor,10/30/25 09:02:43,likely consumed/staged on floor -> verify if on-hand should be 0
20096,7946L-340,2218,PTWY,1502304,06/06/25 10:28:17,moved off floor -> location may be stale (real available stock)
29987,8119L-50,2170,PICK,MFG Floor,10/30/25 09:10:15,likely consumed/staged on floor -> verify if on-hand should be 0
38266,5684L-3,2130,PICK,MFG Floor,06/02/25 11:22:37,likely consumed/staged on floor -> verify if on-hand should be 0
35322,8520L-145,2000,PICK,MFG Floor,01/08/26 07:10:45,likely consumed/staged on floor -> verify if on-hand should be 0
8736,ACI-5195,2000,PICK,MFG Floor,11/04/25 09:12:24,likely consumed/staged on floor -> verify if on-hand should be 0
917,7946L-320,1800,PTWY,1502305,09/05/25 12:19:52,moved off floor -> location may be stale (real available stock)
37591,7453-4,1710,PICK,MFG Floor,05/19/25 13:52:07,likely consumed/staged on floor -> verify if on-hand should be 0
35228,8119L-50,1500,PICK,MFG Floor,10/30/25 09:04:14,likely consumed/staged on floor -> verify if on-hand should be 0
16886,ACI-7315,1500,PICK,MFG Floor,11/04/25 09:27:14,likely consumed/staged on floor -> verify if on-hand should be 0
30829,8119L-50,1450,PICK,MFG Floor,10/30/25 09:09:31,likely consumed/staged on floor -> verify if on-hand should be 0
8755,7848-7,1400,PICK,MFG Floor,10/23/25 08:14:44,likely consumed/staged on floor -> verify if on-hand should be 0
4690,ACI-3839,1220,PICK,MFG Floor,12/12/25 12:38:30,likely consumed/staged on floor -> verify if on-hand should be 0
30142,8721L-250,1100,PICK,MFG Floor,12/12/25 12:53:06,likely consumed/staged on floor -> verify if on-hand should be 0
1425,8477l-30,1100,PTWY,1402508,01/09/26 12:03:50,moved off floor -> location may be stale (real available stock)
7618,8343ML-220,1000,PTWY,1303303,08/15/25 07:10:23,moved off floor -> location may be stale (real available stock)
43852,8755L-15,1000,PICK,MFG Floor,12/02/25 08:36:50,likely consumed/staged on floor -> verify if on-hand should be 0
44841,6846-66,1000,PICK,MFG Floor,02/17/26 12:02:02,likely consumed/staged on floor -> verify if on-hand should be 0
13434,5189-108,1000,PICK,MFG Floor,05/29/25 14:35:24,likely consumed/staged on floor -> verify if on-hand should be 0
35154,6970L-G1-3,980,PTWY,1406405,12/16/25 08:41:52,moved off floor -> location may be stale (real available stock)
6135,7595-28,950,PTWY,1406109,11/26/25 11:31:48,moved off floor -> location may be stale (real available stock)
20095,8080L-420,900,PTWY,1303411,08/15/25 09:55:43,moved off floor -> location may be stale (real available stock)
16153,8245L-275,800,PTWY,1204406,07/28/20 11:29:41,moved off floor -> location may be stale (real available stock)
1626,5189-1,700,PICK,MFG Floor,05/29/25 14:32:26,likely consumed/staged on floor -> verify if on-hand should be 0
1871,8192-130,680,PTWY,1505709,01/26/21 09:57:36,moved off floor -> location may be stale (real available stock)
35212,8016L-2,680,PTWY,1602006,03/24/26 09:58:20,moved off floor -> location may be stale (real available stock)
40775,8756L-40,600,PICK,MFG Floor,06/06/25 12:04:57,likely consumed/staged on floor -> verify if on-hand should be 0
771,6932L-25,550,PTWY,1304807,10/14/25 08:13:40,moved off floor -> location may be stale (real available stock)
38265,5684L-7,540,PICK,MFG Floor,06/02/25 11:23:00,likely consumed/staged on floor -> verify if on-hand should be 0
4232,7700-11,510,PICK,MFG Floor,02/26/26 08:41:45,likely consumed/staged on floor -> verify if on-hand should be 0
1752,7104-9,500,PICK,MFG Floor,05/21/24 14:49:04,likely consumed/staged on floor -> verify if on-hand should be 0
237,6134-35,500,PTWY,1304101,08/15/25 13:14:57,moved off floor -> location may be stale (real available stock)
14266,8271-10,500,PTWY,1303812,10/01/25 09:02:59,moved off floor -> location may be stale (real available stock)
43918,6846-62,500,PICK,MFG Floor,12/02/25 13:37:12,likely consumed/staged on floor -> verify if on-hand should be 0
37196,6248-4,470,PICK,MFG Floor,10/22/25 14:36:03,likely consumed/staged on floor -> verify if on-hand should be 0
37927,7395-80,450,PICK,MFG Floor,12/09/25 12:25:50,likely consumed/staged on floor -> verify if on-hand should be 0
21247,7584-69,440,PTWY,15051415,05/14/24 10:21:25,moved off floor -> location may be stale (real available stock)
330,ACI-293,425,PICK,MFG Floor,02/26/26 08:16:20,likely consumed/staged on floor -> verify if on-hand should be 0
18148,ACI-7344,425,PICK,MFG Floor,06/02/25 11:22:25,likely consumed/staged on floor -> verify if on-hand should be 0
34404,8764l-480,400,PTWY,1301704,09/15/25 13:54:48,moved off floor -> location may be stale (real available stock)
43095,8778L-85,400,PICK,MFG Floor,10/27/25 10:49:55,likely consumed/staged on floor -> verify if on-hand should be 0
34384,8764L-495,400,PTWY,1604003,09/12/25 14:17:11,moved off floor -> location may be stale (real available stock)
42898,8721L-340,380,PICK,MFG Floor,12/12/25 12:52:43,likely consumed/staged on floor -> verify if on-hand should be 0
42879,8721L-335,370,PICK,MFG Floor,12/12/25 12:53:01,likely consumed/staged on floor -> verify if on-hand should be 0
36491,8606ml-390,360,PTWY,2201503,09/24/25 13:28:10,moved off floor -> location may be stale (real available stock)
40056,8730L-15,350,PICK,MFG Floor,05/14/25 12:25:53,likely consumed/staged on floor -> verify if on-hand should be 0
15473,8135L-130,350,PTWY,1503011,08/07/24 10:33:45,moved off floor -> location may be stale (real available stock)
2720,ACI-945,335,PICK,MFG Floor,02/26/26 08:14:08,likely consumed/staged on floor -> verify if on-hand should be 0
23191,8202L-135,325,PTWY,1503010,10/20/25 13:14:11,moved off floor -> location may be stale (real available stock)
37815,7394-80,310,PICK,MFG Floor,12/03/25 11:33:47,likely consumed/staged on floor -> verify if on-hand should be 0
21474,ACI-7622,310,PICK,MFG Floor,12/03/25 11:31:58,likely consumed/staged on floor -> verify if on-hand should be 0
39761,7801L-F-17,302,PICK,MFG Floor,11/12/25 09:31:37,likely consumed/staged on floor -> verify if on-hand should be 0
26537,8413L-45,300,PICK,MFG Floor,03/03/26 09:44:09,likely consumed/staged on floor -> verify if on-hand should be 0
41909,8766LF-2-15,300,PICK,MFG Floor,02/18/26 07:46:25,likely consumed/staged on floor -> verify if on-hand should be 0
26994,6519l-2-5,300,PTWY,1503003,09/15/25 12:51:51,moved off floor -> location may be stale (real available stock)
28642,7343-195,300,PTWY,1503014,03/16/26 09:17:20,moved off floor -> location may be stale (real available stock)
26564,6796-25,300,PTWY,1204336,10/27/23 14:50:50,moved off floor -> location may be stale (real available stock)
28764,8033-2,295,PTWY,1301503,09/21/22 08:14:12,moved off floor -> location may be stale (real available stock)
26646,8080L-1-515,290,PTWY,1103407,08/13/25 10:10:54,moved off floor -> location may be stale (real available stock)
28761,8499l-5,262,PTWY,1502107,09/21/22 08:13:10,moved off floor -> location may be stale (real available stock)
28544,8119L-50,250,PICK,MFG Floor,10/30/25 09:06:27,likely consumed/staged on floor -> verify if on-hand should be 0
33909,8119L-50,250,PICK,MFG Floor,10/30/25 09:23:45,likely consumed/staged on floor -> verify if on-hand should be 0
33910,8119L-50,250,PICK,MFG Floor,10/30/25 09:23:01,likely consumed/staged on floor -> verify if on-hand should be 0
33911,8119L-50,250,PICK,MFG Floor,10/30/25 09:11:20,likely consumed/staged on floor -> verify if on-hand should be 0
33912,8119L-50,250,PICK,MFG Floor,10/30/25 09:24:50,likely consumed/staged on floor -> verify if on-hand should be 0
33913,8119L-50,250,PICK,MFG Floor,10/30/25 09:25:36,likely consumed/staged on floor -> verify if on-hand should be 0
33914,8119L-50,250,PICK,MFG Floor,10/30/25 09:26:24,likely consumed/staged on floor -> verify if on-hand should be 0
33915,8119L-50,250,PICK,MFG Floor,10/30/25 09:12:27,likely consumed/staged on floor -> verify if on-hand should be 0
33916,8119L-50,250,PICK,MFG Floor,10/30/25 09:13:37,likely consumed/staged on floor -> verify if on-hand should be 0
33917,8119L-50,250,PICK,MFG Floor,10/30/25 09:08:36,likely consumed/staged on floor -> verify if on-hand should be 0
33918,8119L-50,250,PICK,MFG Floor,10/30/25 09:07:51,likely consumed/staged on floor -> verify if on-hand should be 0
527,ACI-153,250,PICK,MFG Floor,02/25/26 12:11:06,likely consumed/staged on floor -> verify if on-hand should be 0
28546,8119L-50,250,PICK,MFG Floor,10/30/25 09:07:13,likely consumed/staged on floor -> verify if on-hand should be 0
18739,8173-1-65,230,PTWY,1403014,01/09/26 09:46:14,moved off floor -> location may be stale (real available stock)
4094,ACI-3399,225,PICK,MFG Floor,01/15/26 09:10:55,likely consumed/staged on floor -> verify if on-hand should be 0
240,7993M-110,220,PICK,MFG Floor,02/26/26 09:30:46,likely consumed/staged on floor -> verify if on-hand should be 0
11548,8037-33,220,PICK,MFG Floor,08/13/19 11:51:53,likely consumed/staged on floor -> verify if on-hand should be 0
8019,8192-370,220,PTWY,1504011,12/18/25 14:47:24,moved off floor -> location may be stale (real available stock)
41457,1557-2-16,213,PICK,MFG Floor,12/11/25 09:38:32,likely consumed/staged on floor -> verify if on-hand should be 0
18784,7944-40,212,PTWY,1504001,12/17/25 11:33:33,moved off floor -> location may be stale (real available stock)
885,ACI-1142,210,PICK,MFG Floor,02/25/26 09:12:48,likely consumed/staged on floor -> verify if on-hand should be 0
637,ACI-426,210,PICK,MFG Floor,02/25/26 12:12:03,likely consumed/staged on floor -> verify if on-hand should be 0
12195,8141M-445,210,PTWY,1606205,03/06/26 12:00:39,moved off floor -> location may be stale (real available stock)
455,ACI-113,208,PICK,MFG Floor,02/25/26 12:09:26,likely consumed/staged on floor -> verify if on-hand should be 0
38676,6732LF-150,205,PICK,MFG Floor,11/12/25 12:33:56,likely consumed/staged on floor -> verify if on-hand should be 0
41294,1557-1-3,200,PICK,MFG Floor,06/30/25 12:56:51,likely consumed/staged on floor -> verify if on-hand should be 0
1543,8477L-25,200,PTWY,1403013,01/09/26 12:21:15,moved off floor -> location may be stale (real available stock)
37443,8606M-100,200,PTWY,1503008,10/06/25 12:17:21,moved off floor -> location may be stale (real available stock)
36081,8619ML-50,200,PICK,MFG Floor,09/29/25 12:44:04,likely consumed/staged on floor -> verify if on-hand should be 0
22390,8080L-275,200,PTWY,1504010,12/16/25 12:03:48,moved off floor -> location may be stale (real available stock)
33465,8576ML-75,200,PTWY,1603002,03/27/26 10:10:15,moved off floor -> location may be stale (real available stock)
39062,6138L-35,200,PICK,MFG Floor,08/21/25 08:07:53,likely consumed/staged on floor -> verify if on-hand should be 0
43266,6274-80,200,PICK,MFG Floor,10/24/25 08:43:35,likely consumed/staged on floor -> verify if on-hand should be 0
8836,ACI-5231,200,PICK,MFG Floor,11/04/25 09:28:06,likely consumed/staged on floor -> verify if on-hand should be 0
37852,7394-70,195,PICK,MFG Floor,12/03/25 11:33:38,likely consumed/staged on floor -> verify if on-hand should be 0
30078,8765-20,190,PTWY,1203101,08/19/25 13:38:12,moved off floor -> location may be stale (real available stock)
16651,8245L-75,190,PTWY,1503004,09/17/25 07:38:53,moved off floor -> location may be stale (real available stock)
37471,8572ML-40,190,PTWY,2203404,10/08/25 08:25:20,moved off floor -> location may be stale (real available stock)
452,ACI-100,187,PICK,MFG Floor,02/26/26 07:32:21,likely consumed/staged on floor -> verify if on-hand should be 0
27154,8080L-1-195,185,PTWY,1503007,01/14/26 08:03:26,moved off floor -> location may be stale (real available stock)
27166,8080L-1-485,180,PTWY,1506305,01/19/26 12:14:49,moved off floor -> location may be stale (real available stock)
17679,8466L-135,180,PTWY,1303204,08/14/25 13:34:18,moved off floor -> location may be stale (real available stock)
324,ACI-278,175,PICK,MFG Floor,02/26/26 08:44:08,likely consumed/staged on floor -> verify if on-hand should be 0
2747,ACI-970,175,PICK,MFG Floor,12/15/25 15:10:27,likely consumed/staged on floor -> verify if on-hand should be 0
10773,8256L-50,172,PICK,MFG Floor,03/02/26 15:19:57,likely consumed/staged on floor -> verify if on-hand should be 0
2740,ACI-963,170,PICK,MFG Floor,11/24/25 08:03:02,likely consumed/staged on floor -> verify if on-hand should be 0
36520,8606ML-430,170,PTWY,2201503,01/06/26 10:46:28,moved off floor -> location may be stale (real available stock)
29145,8417L-20,165,PICK,MFG Floor,05/29/25 09:07:02,likely consumed/staged on floor -> verify if on-hand should be 0
2888,ACI-2296,165,PICK,MFG Floor,02/26/26 09:17:50,likely consumed/staged on floor -> verify if on-hand should be 0
5289,7548-7,162,PTWY,1101318,08/05/25 10:45:28,moved off floor -> location may be stale (real available stock)
27150,7004-115,160,PTWY,1401802,01/14/26 09:02:55,moved off floor -> location may be stale (real available stock)
3240,ACI-2545,154,PICK,MFG Floor,11/07/25 10:28:38,likely consumed/staged on floor -> verify if on-hand should be 0
1796,8192-60,150,PTWY,1304212,11/12/24 11:00:42,moved off floor -> location may be stale (real available stock)
33158,8562F-30,150,PTWY,1506105,10/01/25 10:36:20,moved off floor -> location may be stale (real available stock)
2739,8024L-66,150,PICK,MFG Floor,02/27/26 10:57:34,likely consumed/staged on floor -> verify if on-hand should be 0
12557,8080L-1-345,150,PTWY,1504001,12/17/25 10:15:28,moved off floor -> location may be stale (real available stock)
34390,8594l-1160,140,PTWY,2201502,07/09/25 14:54:13,moved off floor -> location may be stale (real available stock)
16991,8260L-50,136,PTWY,1403013,09/03/25 08:59:08,moved off floor -> location may be stale (real available stock)
22876,7249-62,135,PTWY,1603003,03/30/26 10:34:08,moved off floor -> location may be stale (real available stock)
2900,ACI-2297,130,PICK,MFG Floor,02/26/26 09:16:53,likely consumed/staged on floor -> verify if on-hand should be 0
8187,8411-65,125,PTWY,1503013,11/24/25 14:11:40,moved off floor -> location may be stale (real available stock)
18785,7915-3,120,PTWY,1403008,08/29/25 11:14:03,moved off floor -> location may be stale (real available stock)
34403,8594l-1180,120,PTWY,2201502,07/09/25 15:17:36,moved off floor -> location may be stale (real available stock)
2014,8433L-10,120,PTWY,1303509,07/17/24 08:23:03,moved off floor -> location may be stale (real available stock)
13561,8766L-35,120,PTWY,1504012,02/19/26 09:14:55,moved off floor -> location may be stale (real available stock)
4638,7393-25,120,PTWY,1403013,01/09/26 11:47:23,moved off floor -> location may be stale (real available stock)
19006,8266L-40,120,PTWY,1301601,09/03/25 12:26:24,moved off floor -> location may be stale (real available stock)
2745,ACI-981,120,PICK,MFG Floor,11/24/25 08:03:06,likely consumed/staged on floor -> verify if on-hand should be 0
2768,ACI-973,110,PICK,MFG Floor,12/15/25 15:10:19,likely consumed/staged on floor -> verify if on-hand should be 0
2701,ACI-928,105,PICK,MFG Floor,02/25/26 14:59:38,likely consumed/staged on floor -> verify if on-hand should be 0
27080,ACI-8291,104,PICK,MFG Floor,12/03/25 14:25:34,likely consumed/staged on floor -> verify if on-hand should be 0
17006,ACI-4598,100,PTWY,1606407,03/30/26 09:08:49,moved off floor -> location may be stale (real available stock)
12537,ACI-7002,100,PICK,MFG Floor,10/27/25 14:04:17,likely consumed/staged on floor -> verify if on-hand should be 0
22564,8033-11,100,PTWY,1403001,03/03/26 14:09:43,moved off floor -> location may be stale (real available stock)
15434,ACI-4577,100,PICK,MFG Floor,02/11/26 13:58:16,likely consumed/staged on floor -> verify if on-hand should be 0
37997,7395-325,100,PICK,MFG Floor,02/16/26 08:42:21,likely consumed/staged on floor -> verify if on-hand should be 0
1867,8302L-5,100,PTWY,1605010,08/21/25 11:51:30,moved off floor -> location may be stale (real available stock)
37818,7394-130,100,PICK,MFG Floor,05/19/25 13:52:21,likely consumed/staged on floor -> verify if on-hand should be 0
3145,6970-G1-17,100,PTWY,1605007,08/25/25 14:22:19,moved off floor -> location may be stale (real available stock)
2879,ACI-2295,100,PICK,MFG Floor,01/15/26 09:58:25,likely consumed/staged on floor -> verify if on-hand should be 0
38659,6707L-2,100,PTWY,1603003,02/12/26 09:30:29,moved off floor -> location may be stale (real available stock)
5684,7104-4,100,PTWY,1202343,10/26/23 13:26:03,moved off floor -> location may be stale (real available stock)
36616,8621ML-30,95,PICK,MFG Floor,09/10/25 09:06:36,likely consumed/staged on floor -> verify if on-hand should be 0
7680,8055-69,95,PICK,MFG Floor,02/26/26 09:12:19,likely consumed/staged on floor -> verify if on-hand should be 0
37820,7394-90,95,PICK,MFG Floor,12/03/25 11:34:01,likely consumed/staged on floor -> verify if on-hand should be 0
37821,7394-10,90,PICK,MFG Floor,10/08/25 12:04:30,likely consumed/staged on floor -> verify if on-hand should be 0
2789,ACI-2210,88,PICK,MFG Floor,02/26/26 08:44:04,likely consumed/staged on floor -> verify if on-hand should be 0
2818,ACI-2232,88,PICK,MFG Floor,12/15/25 15:10:53,likely consumed/staged on floor -> verify if on-hand should be 0
2686,ACI-924,87,PICK,MFG Floor,10/20/25 10:09:38,likely consumed/staged on floor -> verify if on-hand should be 0
2909,ACI-2294,85,PICK,MFG Floor,02/26/26 09:13:30,likely consumed/staged on floor -> verify if on-hand should be 0
17113,8142M-220,85,PICK,MFG Floor,02/26/26 08:50:17,likely consumed/staged on floor -> verify if on-hand should be 0
2746,ACI-969,85,PICK,MFG Floor,12/15/25 15:10:47,likely consumed/staged on floor -> verify if on-hand should be 0
21389,8291-85,85,PICK,MFG Floor,02/20/26 10:32:53,likely consumed/staged on floor -> verify if on-hand should be 0
2724,ACI-955,85,PICK,MFG Floor,12/15/25 15:11:16,likely consumed/staged on floor -> verify if on-hand should be 0
2567,ACI-839,84,PICK,MFG Floor,09/30/25 14:20:29,likely consumed/staged on floor -> verify if on-hand should be 0
42750,8721L-85,80,PICK,MFG Floor,12/12/25 12:52:45,likely consumed/staged on floor -> verify if on-hand should be 0
2689,7210-16,80,PICK,MFG Floor,02/09/26 09:28:52,likely consumed/staged on floor -> verify if on-hand should be 0
31329,8500-270,80,PICK,MFG Floor,01/28/26 12:11:18,likely consumed/staged on floor -> verify if on-hand should be 0
30227,6796-270,80,PICK,MFG Floor,09/03/25 08:41:10,likely consumed/staged on floor -> verify if on-hand should be 0
44016,8777L-25,80,PTWY,1602002,12/11/25 14:35:23,moved off floor -> location may be stale (real available stock)
6182,8002M-135,80,PICK,MFG Floor,02/26/26 09:08:06,likely consumed/staged on floor -> verify if on-hand should be 0
6046,8024L-46,72,PICK,MFG Floor,02/27/26 13:03:22,likely consumed/staged on floor -> verify if on-hand should be 0
3860,7750L-65,70,PTWY,1503006,10/10/25 13:36:28,moved off floor -> location may be stale (real available stock)
2904,ACI-2302,70,PICK,MFG Floor,02/26/26 08:46:16,likely consumed/staged on floor -> verify if on-hand should be 0
14994,8033-8,70,PTWY,1403011,09/02/25 11:42:28,moved off floor -> location may be stale (real available stock)
13398,ACI-4553,70,PICK,MFG Floor,02/26/26 08:11:25,likely consumed/staged on floor -> verify if on-hand should be 0
42775,8721L-80,70,PICK,MFG Floor,12/12/25 12:52:38,likely consumed/staged on floor -> verify if on-hand should be 0
16220,8413L-20,70,PICK,MFG Floor,03/03/26 09:44:03,likely consumed/staged on floor -> verify if on-hand should be 0
4930,8328-210,70,PTWY,1503013,05/07/24 15:29:05,moved off floor -> location may be stale (real available stock)
3444,ACI-2725,66,PICK,MFG Floor,02/26/26 08:53:10,likely consumed/staged on floor -> verify if on-hand should be 0
2732,ACI-959,65,PICK,MFG Floor,11/24/25 09:00:59,likely consumed/staged on floor -> verify if on-hand should be 0
39187,8594ml-840,65,PTWY,1604003,09/12/25 14:15:56,moved off floor -> location may be stale (real available stock)
6034,8024L-15,65,PICK,MFG Floor,02/11/26 10:21:27,likely consumed/staged on floor -> verify if on-hand should be 0
45205,5477-22,65,RESTOCK,1603003,04/10/26 13:00:12,moved off floor -> location may be stale (real available stock)
17214,8764L-490,65,PTWY,1604003,09/12/25 14:17:15,moved off floor -> location may be stale (real available stock)
3202,7694L-24,65,PTWY,1503010,10/20/25 09:43:19,moved off floor -> location may be stale (real available stock)
1558,ACI-1692,62,PICK,MFG Floor,01/09/26 08:14:22,likely consumed/staged on floor -> verify if on-hand should be 0
2911,8063L-10,61,PICK,MFG Floor,02/26/26 08:59:16,likely consumed/staged on floor -> verify if on-hand should be 0
19210,7860-29,60,PTWY,1506702,02/11/26 10:48:46,moved off floor -> location may be stale (real available stock)
42979,8603-30,60,RESTOCK,"",04/03/26 10:18:24,moved off floor -> location may be stale (real available stock)
17014,8279L-195,60,PICK,MFG Floor,06/14/24 07:53:48,likely consumed/staged on floor -> verify if on-hand should be 0
7642,8070-20,60,PICK,MFG Floor,02/26/26 07:08:49,likely consumed/staged on floor -> verify if on-hand should be 0
28732,8448L-270,60,PICK,MFG Floor,02/26/26 08:17:17,likely consumed/staged on floor -> verify if on-hand should be 0
23169,8080L-1-70,60,PTWY,1406707,01/15/26 08:21:55,moved off floor -> location may be stale (real available stock)
482,6588l-43,60,PTWY,1503010,10/21/25 14:05:27,moved off floor -> location may be stale (real available stock)
2857,7393-10,60,PICK,MFG Floor,02/26/26 10:55:57,likely consumed/staged on floor -> verify if on-hand should be 0
39405,8739L-5,60,PICK,MFG Floor,06/05/25 14:41:16,likely consumed/staged on floor -> verify if on-hand should be 0
31137,ACI-8487,60,PICK,MFG Floor,10/27/25 08:00:00,likely consumed/staged on floor -> verify if on-hand should be 0
5380,7995-33,60,PTWY,1403002,03/03/26 08:27:46,moved off floor -> location may be stale (real available stock)
5410,7995-36,60,PICK,MFG Floor,03/03/26 08:51:01,likely consumed/staged on floor -> verify if on-hand should be 0
32663,8764L-10,60,PTWY,1604003,09/12/25 14:01:13,moved off floor -> location may be stale (real available stock)
38014,7395-85,60,PICK,MFG Floor,12/09/25 12:26:01,likely consumed/staged on floor -> verify if on-hand should be 0
34396,8764L-5,59,PTWY,1301705,09/17/25 11:13:56,moved off floor -> location may be stale (real available stock)
23537,8342ML-325,58,PICK,MFG Floor,10/07/25 14:45:27,likely consumed/staged on floor -> verify if on-hand should be 0
6048,8024L-23,55,PICK,MFG Floor,02/27/26 13:03:31,likely consumed/staged on floor -> verify if on-hand should be 0
4064,6765-35,52,PICK,MFG Floor,03/03/26 09:17:30,likely consumed/staged on floor -> verify if on-hand should be 0
11865,8141M-215,50,PICK,MFG Floor,03/03/26 09:33:23,likely consumed/staged on floor -> verify if on-hand should be 0
29070,8452-155,50,PICK,MFG Floor,02/02/26 09:03:11,likely consumed/staged on floor -> verify if on-hand should be 0
1438,6519L-8,50,PICK,MFG Floor,12/19/25 09:25:49,likely consumed/staged on floor -> verify if on-hand should be 0
44678,8725L-2,50,PICK,MFG Floor,02/06/26 13:02:34,likely consumed/staged on floor -> verify if on-hand should be 0
27764,8443L-125,50,PICK,MFG Floor,03/03/26 12:38:37,likely consumed/staged on floor -> verify if on-hand should be 0
41248,8606M-145,50,PICK,MFG Floor,11/19/25 10:37:21,likely consumed/staged on floor -> verify if on-hand should be 0
2543,7944L-40,50,PTWY,1503009,10/17/25 11:54:16,moved off floor -> location may be stale (real available stock)
10883,6753L-70,50,PTWY,1503007,10/06/25 11:05:08,moved off floor -> location may be stale (real available stock)
42292,8243-95,50,PICK,MFG Floor,03/03/26 07:53:04,likely consumed/staged on floor -> verify if on-hand should be 0
27530,7946L-285,50,PTWY,1502302,06/05/25 13:56:07,moved off floor -> location may be stale (real available stock)
13352,8181-135,50,PICK,MFG Floor,10/21/25 14:50:59,likely consumed/staged on floor -> verify if on-hand should be 0
34367,8594l-1070,50,PTWY,2201502,07/09/25 14:21:31,moved off floor -> location may be stale (real available stock)
34375,8594l-970,50,PTWY,2201502,07/09/25 15:25:19,moved off floor -> location may be stale (real available stock)
4931,7734-15,50,PICK,MFG Floor,02/26/26 09:15:04,likely consumed/staged on floor -> verify if on-hand should be 0
5122,ACI-3880,50,PICK,MFG Floor,02/26/26 08:53:03,likely consumed/staged on floor -> verify if on-hand should be 0
6002,ACI-1764,49,PICK,MFG Floor,02/27/26 11:30:49,likely consumed/staged on floor -> verify if on-hand should be 0
2863,ACI-2276,48,PICK,MFG Floor,01/15/26 09:58:29,likely consumed/staged on floor -> verify if on-hand should be 0
17509,7944-7,46,PTWY,1401103,08/28/25 13:51:00,moved off floor -> location may be stale (real available stock)
29149,8417l-95,45,PICK,MFG Floor,05/21/24 14:50:03,likely consumed/staged on floor -> verify if on-hand should be 0
37760,7594-14,45,PICK,MFG Floor,05/19/25 13:52:14,likely consumed/staged on floor -> verify if on-hand should be 0
33836,8594l-1060,45,PTWY,2201502,07/09/25 15:17:22,moved off floor -> location may be stale (real available stock)
34386,8594l-1020,45,PTWY,2201502,07/09/25 15:17:15,moved off floor -> location may be stale (real available stock)
7748,8055-84,45,PICK,MFG Floor,02/02/26 10:12:17,likely consumed/staged on floor -> verify if on-hand should be 0
